MessageName;total_ns
perf_event_paranoid: 4;207378673
tracefs path: /sys/kernel/tracing;207440371
sched_switch id: -1;207445090
sched_waking id: -1;207445280
drm_vblank_event id: -1;207445451
Setup software sampling;207455410
  Probed precise_ip: 0;207456281
  Probed precise_ip: 0;207456612
  Failed to setup!;207458846
Setup sampling cycles + retirement;207458986
  Probed precise_ip: 0;207459297
Setup sampling CPU cache references + misses;207461501
  Probed precise_ip: 0;207461732
Setup sampling CPU branch retirements + misses;207463615
  Probed precise_ip: 0;207463816
Ringbuffers in use: 0;207465910
Failed to increase SysTraceWorker thread priority!;210319004
SYNC_CHECK;3698606050
`TT_DNN_DEVICE_OP: "TilizeWithValPaddingDeviceOperation", 10219483425381845010, 3, false, 1027 ->
{
    "attributes": {
        "enough_space_height": "true",
        "enough_space_width": "true",
        "output_dtype": "DataType::FLOAT32",
        "output_mem_config": "MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED,buffer_type=BufferType::DRAM,shard_spec=std::nullopt,nd_shard_spec=std::nullopt,created_with_nd_shard_spec=0)",
        "output_padded_shape": "Shape([1, 1, 32, 5120])",
        "pad_value": "0",
        "sub_core_grids": "std::nullopt",
        "use_multicore": "true"
    },
    "device_id": 3,
    "global_call_count": 1027,
    "input_tensors": [
        {
            "dtype": "FLOAT32",
            "layout": "ROW_MAJOR",
            "shape": {
                "W": "1[1]",
                "X": "5120[5120]",
                "Y": "1[1]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "kernel_info": {
        "compute_kernels": [
            {
                "math_fidelity": "HiFi4",
                "name": "tilize_wh/9671460840868810155/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize_wh.cpp"
            }
        ],
        "datamovement_kernels": [
            {
                "name": "writer_unary_interleaved_start_id_wh/6042771816085713306/",
                "source": "ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id_wh.cpp"
            },
            {
                "name": "reader_unary_pad_multicore_both_dims/1818870452495110536/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize_with_val_padding/device/kernels/dataflow/reader_unary_pad_multicore_both_dims.cpp"
            }
        ],
        "kernel_sizes": {
            "ACTIVE_ETH_DM_0_max_kernel_size": 0,
            "ACTIVE_ETH_DM_1_max_kernel_size": 0,
            "IDLE_ETH_DM_0_max_kernel_size": 0,
            "IDLE_ETH_DM_1_max_kernel_size": 0,
            "TENSIX_COMPUTE_0_max_kernel_size": 1628,
            "TENSIX_COMPUTE_1_max_kernel_size": 796,
            "TENSIX_COMPUTE_2_max_kernel_size": 1704,
            "TENSIX_DM_0_max_kernel_size": 736,
            "TENSIX_DM_1_max_kernel_size": 2888
        }
    },
    "op_code": "TilizeWithValPaddingDeviceOperation",
    "op_hash": 10219483425381845010,
    "op_type": "tt_dnn_device",
    "optional_input_tensors": [],
    "output_tensors": [
        {
            "dtype": "FLOAT32",
            "layout": "TILE",
            "shape": {
                "W": "1[1]",
                "X": "5120[5120]",
                "Y": "32[1]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "performance_model": {
        "bandwidth_ns": 1,
        "compute_ns": 1,
        "ideal_ns": 1,
        "input_bws": [],
        "output_bws": []
    },
    "program_cache_hit": false
}`;3711343829
`TT_DNN_DEVICE_OP: "TypecastDeviceOperation", 15899179443584848397, 3, false, 2051 ->
{
    "attributes": {
        "bfp8_pack_precise": "false",
        "fp32_dest_acc_en": "true",
        "input_dtype": "DataType::FLOAT32",
        "output_dtype": "DataType::BFLOAT16",
        "output_memory_config": "MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED,buffer_type=BufferType::DRAM,shard_spec=std::nullopt,nd_shard_spec=std::nullopt,created_with_nd_shard_spec=0)",
        "preserve_fp32_precision": "true",
        "sub_core_grids": "std::nullopt"
    },
    "device_id": 3,
    "global_call_count": 2051,
    "input_tensors": [
        {
            "dtype": "FLOAT32",
            "layout": "TILE",
            "shape": {
                "W": "1[1]",
                "X": "5120[5120]",
                "Y": "32[1]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "kernel_info": {
        "compute_kernels": [
            {
                "math_fidelity": "HiFi4",
                "name": "eltwise_typecast/4388075702248474193/",
                "source": "ttnn/cpp/ttnn/operations/copy/typecast/device/kernels/compute/eltwise_typecast.cpp"
            }
        ],
        "datamovement_kernels": [
            {
                "name": "writer_unary_interleaved_start_id/5046105809060966876/",
                "source": "ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp"
            },
            {
                "name": "reader_unary_interleaved_start_id/18292356594317179024/",
                "source": "ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/reader_unary_interleaved_start_id.cpp"
            }
        ],
        "kernel_sizes": {
