MessageName;total_ns
perf_event_paranoid: 4;207440728
tracefs path: /sys/kernel/tracing;207502746
sched_switch id: -1;207507295
sched_waking id: -1;207507475
drm_vblank_event id: -1;207507636
Setup software sampling;207520019
  Probed precise_ip: 0;207521202
  Probed precise_ip: 0;207521512
  Failed to setup!;207524869
Setup sampling cycles + retirement;207524949
  Probed precise_ip: 0;207526642
Setup sampling CPU cache references + misses;207528866
  Probed precise_ip: 0;207529137
Setup sampling CPU branch retirements + misses;207531401
  Probed precise_ip: 0;207531621
Ringbuffers in use: 0;207533625
Failed to increase SysTraceWorker thread priority!;210450171
SYNC_CHECK;3717896389
`TT_DNN_DEVICE_OP: "TilizeWithValPaddingDeviceOperation", 10219483425381845010, 3, false, 1027 ->
{
    "attributes": {
        "enough_space_height": "true",
        "enough_space_width": "true",
        "output_dtype": "DataType::FLOAT32",
        "output_mem_config": "MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED,buffer_type=BufferType::DRAM,shard_spec=std::nullopt,nd_shard_spec=std::nullopt,created_with_nd_shard_spec=0)",
        "output_padded_shape": "Shape([1, 1, 32, 5120])",
        "pad_value": "0",
        "sub_core_grids": "std::nullopt",
        "use_multicore": "true"
    },
    "device_id": 3,
    "global_call_count": 1027,
    "input_tensors": [
        {
            "dtype": "FLOAT32",
            "layout": "ROW_MAJOR",
            "shape": {
                "W": "1[1]",
                "X": "5120[5120]",
                "Y": "1[1]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "kernel_info": {
        "compute_kernels": [
            {
                "math_fidelity": "HiFi4",
                "name": "tilize_wh/9671460840868810155/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize_wh.cpp"
            }
        ],
        "datamovement_kernels": [
            {
                "name": "writer_unary_interleaved_start_id_wh/6042771816085713306/",
                "source": "ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id_wh.cpp"
            },
            {
                "name": "reader_unary_pad_multicore_both_dims/1818870452495110536/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize_with_val_padding/device/kernels/dataflow/reader_unary_pad_multicore_both_dims.cpp"
            }
        ],
        "kernel_sizes": {
            "ACTIVE_ETH_DM_0_max_kernel_size": 0,
            "ACTIVE_ETH_DM_1_max_kernel_size": 0,
            "IDLE_ETH_DM_0_max_kernel_size": 0,
            "IDLE_ETH_DM_1_max_kernel_size": 0,
            "TENSIX_COMPUTE_0_max_kernel_size": 1628,
            "TENSIX_COMPUTE_1_max_kernel_size": 796,
            "TENSIX_COMPUTE_2_max_kernel_size": 1704,
            "TENSIX_DM_0_max_kernel_size": 736,
            "TENSIX_DM_1_max_kernel_size": 2888
        }
    },
    "op_code": "TilizeWithValPaddingDeviceOperation",
